1,10612356
2,1218179
3,895042
4,3997159
5,221126
6,364686
7,3611443
8,179242
9,259399
10,225292
11,184459
12,269448
13,253240
14,245103
15,278058
16,298580
17,317348
18,302813
19,299850
20,300182
21,278115
22,244434
23,213513
24,228599
25,312848
26,234508
27,290782
28,309672
29,303134
30,320307
31,347527
32,336606
33,356920
34,353978
35,320735
36,288579
37,283199
38,222668
39,202972
40,86207
41,48764
42,10698
43,13533
44,7407
45,13836
46,6615
47,14751
48,7072
49,11324
50,3055
51,4858
52,2655
53,2341
54,2181
55,4788
56,6065
57,6001
58,3710
59,8059
60,3183
61,6961
62,1461
63,6612
64,940
65,5978
66,1194
67,8370
68,1705
69,9391
70,1937
71,9153
72,8242
73,6558
74,7976
75,7843
76,11080
77,13130
78,16643
79,15647
80,10982
81,15104
82,10223
83,10683
84,5491
85,9542
86,4306
87,13203
88,13914
89,22307
90,27024
91,20411
92,10724
93,14339
94,11876
95,14347
96,24533
97,20274
98,8156
99,7686
100,14203
101,18696
102,20213
103,30014
104,34278
105,28781
106,13398
107,16703
108,14191
109,23187
110,11611
111,18828
112,15190
113,12409
114,25856
115,26125
116,31229
117,20452
118,17411
119,19317
120,23945
121,17716
122,13608
123,12103
124,9980
125,15974
126,26188
127,26554
128,13413
129,13526
130,8680
131,16594
132,10243
133,33332
134,23425
135,9395
136,12374
137,11501
138,11916
139,12019
140,10143
141,9290
142,10454
143,12051
144,18554
145,10523
146,33656
147,19739
148,13084
149,8001
150,10697
151,9606
152,9403
153,5269
154,7836
155,7682
156,7143
157,12012
158,8213
159,18371
160,10041
161,10267
162,9490
163,13211
164,13194
165,11110
166,14844
167,18140
168,24417
169,17549
170,25948
171,35369
172,40062
173,68186
174,79532
175,98247
176,92738
177,99518
178,89709
179,64470
180,50749
181,28470
182,29335
183,20827
184,11413
185,5124
186,4696
187,4514
188,1491
189,3107
190,3100
191,2689
192,12965
193,3603
194,7209
195,1849
196,5264
197,547
198,4704
199,1225
200,3992
201,476
202,5756
203,720
204,2003
205,6273
206,789
207,4872
208,977
209,3307
210,666
211,2820
212,1875
213,1761
214,5602
215,5139
216,16302
217,29149
218,46728
219,13144
220,21159
221,47727
222,10797
223,6501
224,6259
225,2137
226,7748
227,2720
228,3871
229,7537
230,4775
231,6122
232,4143
233,5196
234,3328
235,2406
236,4876
237,4707
238,7938
239,9926
240,21810
241,6611
242,4797
243,4291
244,657
245,5511
246,54005
247,45459
248,2916
249,7078
250,3431
251,7830
252,4464
253,4899
254,7094
255,3803
256,6496
257,3206
258,5112
259,4206
260,6948
261,2671
262,7609
263,6372
264,24591
265,7744
266,6483
267,2027
268,6272
269,1391
270,5771
271,4849
272,8933
273,7124
274,11230
275,8079
276,9840
277,10641
278,3164
279,13223
280,4499
281,12312
282,8525
283,11673
284,5211
285,7159
286,17328
287,12488
288,78691
289,22029
290,22901
291,11425
292,9327
293,15415
294,3664
295,15033
296,9823
297,15077
298,7989
299,19879
300,7371
301,21845
302,36807
303,6146
304,19877
305,3106
306,5095
307,11020
308,3604
309,11312
310,6603
311,10024
312,4324
313,1961
314,298
315,513
316,5312
317,2342
318,1951
319,1595
320,669
321,4512
322,806
323,4404
324,389
325,3544
326,3187
327,6539
328,10841
329,8174
330,12078
331,4079
332,15100
333,4354
334,16520
335,5080
336,14788
337,3144
338,4737
339,14667
340,10881
341,15244
342,3375
343,2768
344,515
345,1313
346,782
347,3816
348,6292
349,6060
350,273
351,274
352,333
353,98
354,86
355,63
356,73
357,72
358,435
359,514
360,2
361,1
362,22
363,71
364,58
365,112
366,65
367,109
368,109
369,229
370,291
371,426
372,163
373,295
374,539
375,7
376,167
377,478
378,13
379,31
380,39
381,3
382,69
383,65
384,28
385,110
386,174
387,61
388,86
389,291
390,389
391,341
392,705
393,281
394,196
395,293
396,77
397,216
398,86
399,473
400,947
401,40
402,94
403,678
404,637
405,162
406,138
407,602
408,317
409,457
410,655
411,768
412,1346
413,394
414,58
415,222
416,3
417,117
418,33
419,3
420,92
421,395
422,65
423,30
424,392
425,104
426,40
427,29
428,136
429,1
430,15
431,69
432,61
433,12
434,227
435,331
436,2
437,66
438,1
439,28
440,67
441,14
442,82
443,88
444,95
445,100
446,44
447,878
448,80
449,91
450,173
451,88
452,146
453,241
454,11
455,333
456,655
457,656
458,340
459,176
460,185
461,128
462,280
463,3
464,79
465,39
466,4
467,138
468,26
469,2
470,110
471,443
472,69
473,121
474,56
475,266
476,10
477,273
478,2
479,16
480,69
481,13
482,15
483,65
486,8
487,235
488,5
489,26
490,1
491,14
492,75
493,13
494,30
495,55
496,98
497,25
498,199
499,457
500,250
501,402
502,57
503,110
504,130
505,415
506,201
507,124
508,204
509,286
510,128
511,529
512,606
513,472
514,272
515,425
516,939
518,1
519,14
520,13
523,1
524,2
525,23
526,14
527,12
529,2
530,14
700,1
